"","medium","ID","gemeente","weight1","medium_gemeente","gebruik","freq","app","blendle","facebook","krant","nieuwsb","podcast","radio","replica","site","teltekst","tv","twitter","weetniet","youtube"
"30694","ad",99181,"rotterdam",0.988012369639299,"landelijk",1,6,1,0,0,0,0,0,NA,0,0,NA,NA,0,0,0
"30701","ad",88086,"amsterdam",1.09211804895821,"landelijk",1,3,1,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"30707","ad",88461,"amsterdam",1.04460325938323,"landelijk",1,4,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30732","ad",77603,"langedijk",0.743045781576525,"landelijk",1,6,0,0,0,1,0,0,NA,1,0,NA,NA,0,0,0
"30736","ad",99041,"rotterdam",1.04689921533174,"landelijk",1,5,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30738","ad",11112,"almere",0.879361846186308,"landelijk",1,5,0,0,0,1,0,0,NA,1,0,NA,NA,0,0,0
"30742","ad",99416,"rotterdam",1.02417055319339,"landelijk",1,3,0,0,1,1,0,0,NA,0,0,NA,NA,0,0,0
"30761","ad",88040,"amsterdam",0.906197566706999,"landelijk",1,6,0,0,1,0,0,0,NA,0,0,NA,NA,0,0,0
"30765","ad",11128,"almere",0.879361846186308,"landelijk",1,5,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30777","ad",88462,"amsterdam",1.09211804895821,"landelijk",1,4,1,0,0,0,0,0,NA,0,0,NA,NA,0,0,0
"30797","ad",11394,"almere",1.17104368139015,"landelijk",1,6,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"30806","ad",99042,"rotterdam",0.988012369639299,"landelijk",1,6,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30813","ad",22257,"enschede",1.11056849418776,"landelijk",1,6,0,0,1,0,0,0,NA,0,0,NA,NA,0,0,0
"30876","ad",99043,"rotterdam",1.04689921533174,"landelijk",1,3,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"30904","ad",99184,"rotterdam",0.924563889565911,"landelijk",1,5,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30946","ad",99044,"rotterdam",1.04689921533174,"landelijk",1,6,0,0,0,0,1,0,NA,0,1,NA,NA,0,0,0
"30952","ad",99419,"rotterdam",1.02417055319339,"landelijk",1,5,0,0,1,0,0,0,NA,1,0,NA,NA,0,0,0
"30953","ad",22259,"enschede",0.793392238324074,"landelijk",1,5,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"30974","ad",99185,"rotterdam",1.02417055319339,"landelijk",1,5,0,0,0,1,0,0,NA,1,0,NA,NA,0,0,0
"31002","ad",77560,"langedijk",0.893092265078127,"landelijk",1,4,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"31007","ad",11397,"almere",1.17104368139015,"landelijk",1,7,1,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"31023","ad",22260,"enschede",0.833653609499695,"landelijk",1,6,0,0,1,0,0,0,NA,0,0,NA,NA,0,0,0
"31038","ad",66298,"bunschoten",0.658385254746918,"landelijk",1,6,0,0,0,1,0,0,NA,1,0,NA,NA,0,0,0
"31045","ad",11132,"almere",0.879361846186308,"landelijk",1,6,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"31057","ad",88466,"amsterdam",0.906197566706999,"landelijk",1,4,0,0,0,0,1,0,NA,0,1,NA,NA,0,0,0
"31073","ad",99327,"rotterdam",0.988012369639299,"landelijk",1,2,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"31089","ad",33023,"nijmegen",0.95182284806155,"landelijk",1,5,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"31092","ad",99421,"rotterdam",1.02417055319339,"landelijk",1,2,1,0,0,0,0,0,NA,0,0,NA,NA,0,0,0
"31093","ad",22261,"enschede",0.935871537760698,"landelijk",1,7,1,0,1,0,0,0,NA,0,0,NA,NA,0,0,0
"31105","ad",66502,"bunschoten",1.07462409018958,"landelijk",1,6,0,0,0,1,0,0,NA,1,0,NA,NA,0,0,0
"31114","ad",99187,"rotterdam",0.988012369639299,"landelijk",1,7,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"31115","ad",11133,"almere",0.83621210660842,"landelijk",1,7,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"31127","ad",88467,"amsterdam",0.947416839487048,"landelijk",1,6,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"31130","ad",88139,"amsterdam",0.917381517197433,"landelijk",1,6,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"31163","ad",22262,"enschede",0.935871537760698,"landelijk",1,5,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"31175","ad",66503,"bunschoten",0.65412002316781,"landelijk",1,6,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"31184","ad",99188,"rotterdam",1.00993859986337,"landelijk",1,6,1,0,0,0,0,0,NA,0,0,NA,NA,0,0,0
"31213","ad",99329,"rotterdam",1.00993859986337,"landelijk",1,5,1,0,1,0,0,0,NA,0,0,NA,NA,0,0,0
"31226","ad",99048,"rotterdam",1.00993859986337,"landelijk",1,6,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"31233","ad",22263,"enschede",0.793392238324074,"landelijk",1,7,1,0,1,0,0,0,NA,0,0,NA,NA,0,0,0
"31277","ad",11354,"almere",1.04141127627369,"landelijk",1,5,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"31302","ad",99424,"rotterdam",0.988012369639299,"landelijk",1,4,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"31315","ad",66505,"bunschoten",0.65412002316781,"landelijk",1,7,1,0,0,0,0,0,NA,0,0,NA,NA,0,0,0
"31324","ad",99190,"rotterdam",1.04689921533174,"landelijk",1,4,0,0,0,1,0,0,NA,0,1,NA,NA,0,0,0
"31347","ad",11355,"almere",1.09514958621869,"landelijk",1,6,0,0,1,0,0,0,NA,1,0,NA,NA,0,0,0
"31366","ad",99050,"rotterdam",1.04689921533174,"landelijk",1,7,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"31372","ad",99425,"rotterdam",1.02417055319339,"landelijk",1,6,1,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"31394","ad",99191,"rotterdam",1.00993859986337,"landelijk",1,3,0,0,0,1,0,0,NA,1,0,NA,NA,0,0,0
"31410","ad",88143,"amsterdam",0.947416839487048,"landelijk",1,7,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"31455","ad",66507,"bunschoten",0.65412002316781,"landelijk",1,3,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"31464","ad",99192,"rotterdam",0.988012369639299,"landelijk",1,6,0,0,0,1,0,0,NA,1,0,NA,NA,0,0,0
"31477","ad",88472,"amsterdam",1.04460325938323,"landelijk",1,5,0,0,0,1,0,0,NA,0,1,NA,NA,0,0,0
"31487","ad",11357,"almere",0.879361846186308,"landelijk",1,4,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"31512","ad",99427,"rotterdam",0.988012369639299,"landelijk",1,5,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"31528","ad",66305,"bunschoten",1.07462409018958,"landelijk",1,5,0,0,0,0,1,0,NA,1,0,NA,NA,0,0,0
"31537","ad",77099,"langedijk",2.21250130357724,"landelijk",1,5,0,0,1,0,0,0,NA,0,1,NA,NA,0,0,0
"31563","ad",99334,"rotterdam",0.924563889565911,"landelijk",1,6,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"31567","ad",11405,"almere",0.940301805881723,"landelijk",1,7,1,0,1,0,0,0,NA,0,1,NA,NA,0,0,0
"31576","ad",99053,"rotterdam",0.924563889565911,"landelijk",1,3,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"31579","ad",33030,"nijmegen",0.95182284806155,"landelijk",1,5,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"31582","ad",99428,"rotterdam",1.04689921533174,"landelijk",1,6,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"31583","ad",22268,"enschede",1.3100070737263,"landelijk",1,2,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"31605","ad",11140,"almere",0.879361846186308,"landelijk",1,6,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"31607","ad",77100,"langedijk",2.21250130357724,"landelijk",1,4,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"31620","ad",88146,"amsterdam",0.917381517197433,"landelijk",1,5,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"31638","ad",88115,"amsterdam",0.917381517197433,"landelijk",1,6,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"31652","ad",99429,"rotterdam",1.02417055319339,"landelijk",1,6,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"31665","ad",66510,"bunschoten",0.65412002316781,"landelijk",1,6,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"31674","ad",99195,"rotterdam",1.00993859986337,"landelijk",1,6,0,0,0,1,0,0,NA,1,0,NA,NA,0,0,0
"31681","ad",88100,"amsterdam",0.917381517197433,"landelijk",1,5,1,0,0,1,1,0,NA,0,1,NA,NA,0,0,0
"31723","ad",22270,"enschede",1.11056849418776,"landelijk",1,7,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"31773","ad",99337,"rotterdam",1.04689921533174,"landelijk",1,7,1,0,0,1,0,0,NA,1,1,NA,NA,0,0,0
"31792","ad",99431,"rotterdam",0.988012369639299,"landelijk",1,3,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"31793","ad",22271,"enschede",1.3100070737263,"landelijk",1,4,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"31805","ad",66512,"bunschoten",0.65412002316781,"landelijk",1,6,1,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"31808","ad",66309,"bunschoten",1.88116939479177,"landelijk",1,4,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"31813","ad",77431,"langedijk",0.604305089175663,"landelijk",1,6,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"31835","ad",77197,"langedijk",0.743045781576525,"landelijk",1,6,0,0,0,1,0,0,NA,1,0,NA,NA,0,0,0
