"","ID","gemeente","weight1","geslacht","leeftijd","opleiding","gezin","vertrouwen","nieuwsinteresse","intr_nieuws_buurt","intr_nieuws_stad","intr_nieuws_landelijk","intr_nieuws_internationaal","intr_nieuws_gr18","stem_gr2014","stem_gr2014b","stem_2017","stemkans_gr18","stemintentie_gr18","stemintentie_gr18b","stem_gr18","stem_moment","stem_plan","sr_niet","referendum","stem_gr18b"
"85",33011,"nijmegen",0.794532771832626,2,62,"master",1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"GroenLinks","GroenLinks","PvdA","Zeker wel","Weet ik niet meer","Weet ik niet meer","Stadspartij DNF","Op de dag voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","lokaal"
"86",99013,"rotterdam",0.958400055846518,2,71,"mavo",2,0.166666666666667,0.7,1,1,0.5,0.5,0.5,"CDA","CDA","CDA","Zeker wel","Zeg ik liever niet","Zeg ik liever niet","CDA","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Wil ik niet zeggen","CDA"
"87",99014,"rotterdam",0.924563889565911,1,69,"mbo",2,-0.166666666666667,0.5,0.5,0.5,0.5,0.5,0.5,"Rotterdamse Ouderen Partij (ROP)","lokaal","Andere partij, namelijk:","Zeker wel","Ouderen Partij (OPA)","lokaal","50Plus","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","50Plus"
"88",22019,"enschede",0.935871537760698,1,48,"bachelor",3,-0.5,0.3,0.5,0.5,1,0.5,-1,"CDA","CDA","CDA","Waarschijnlijk wel","Weet ik niet meer","Weet ik niet meer","Ik heb niet gestemd",NA,NA,"Geen of te weinig verschillen tussen partijen/ ik ken de programma’s/ kandidaten/ standpunten niet","Ik heb niet gestemd","Ik heb niet gestemd"
"89",22020,"enschede",1.11056849418776,2,42,"bachelor",3,-1,0,0.5,0.5,0.5,-0.5,-1,"Ik heb niet gestemd","Ik heb niet gestemd","CDA","Zeker niet","Ik heb niet gestemd","Ik heb niet gestemd","Ik heb niet gestemd",NA,NA,"Geen of te weinig verschillen tussen partijen/ ik ken de programma’s/ kandidaten/ standpunten niet","Ik heb niet gestemd","Ik heb niet gestemd"
"90",99015,"rotterdam",1.00993859986337,1,47,"lbo",6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"Leefbaar Rotterdam","lokaal","GroenLinks","Zeker wel","Leefbaar Rotterdam","lokaal",NA,NA,NA,NA,NA,NA
"91",11028,"almere",1.04141127627369,2,66,"mavo",2,-0.166666666666667,0.9,1,1,1,1,0.5,"PVV","PVV","PVV","Zeker wel","Weet ik niet meer","Weet ik niet meer","PVV","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","PVV"
"92",55008,"smallingerland",0.898081711232443,2,73,"master",2,-0.166666666666667,0.3,0.5,0.5,0.5,0.5,-0.5,"D66","D66","PvdA","Zeker wel","Zeg ik liever niet","Zeg ik liever niet",NA,NA,NA,NA,NA,NA
"93",55009,"smallingerland",0.79140772150439,1,72,"master",2,0.166666666666667,0.7,1,1,0.5,0.5,0.5,"GroenLinks","GroenLinks","GroenLinks","Zeker wel","GroenLinks","GroenLinks","GroenLinks","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","GroenLinks"
"94",11029,"almere",1.17104368139015,2,20,"bachelor",4,-0.333333333333333,0.6,0.5,0.5,0.5,1,0.5,"Ten tijde van de vorige verkiezingen was ik te jong om te stemmen","Ten tijde van de vorige verkiezingen was ik te jong om te stemmen","D66","Zeker wel","Weet ik niet meer","Weet ik niet meer","VVD","In het stemhokje","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","VVD"
